구분,죄종,발생검거,건수
중부,살인,발생,4
중부,살인,검거,4
중부,강도,발생,3
중부,강도,검거,3
중부,"강간,추행",발생,109
중부,"강간,추행",검거,57
중부,절도,발생,765
중부,절도,검거,426
중부,폭력,발생,945
중부,폭력,검거,801
종로,살인,발생,3
종로,살인,검거,0
종로,강도,발생,2
종로,강도,검거,2
종로,"강간,추행",발생,88
종로,"강간,추행",검거,59
종로,절도,발생,513
종로,절도,검거,234
종로,폭력,발생,815
종로,폭력,검거,663
남대문,살인,발생,2
남대문,살인,검거,2
남대문,강도,발생,3
남대문,강도,검거,3
남대문,"강간,추행",발생,52
남대문,"강간,추행",검거,40
남대문,절도,발생,514
남대문,절도,검거,313
남대문,폭력,발생,464
남대문,폭력,검거,423
서대문,살인,발생,3
서대문,살인,검거,3
서대문,강도,발생,2
서대문,강도,검거,2
서대문,"강간,추행",발생,137
서대문,"강간,추행",검거,120
서대문,절도,발생,1027
서대문,절도,검거,562
서대문,폭력,발생,1109
서대문,폭력,검거,907
혜화,살인,발생,3
혜화,살인,검거,3
혜화,강도,발생,2
혜화,강도,검거,2
혜화,"강간,추행",발생,68
혜화,"강간,추행",검거,43
혜화,절도,발생,566
혜화,절도,검거,270
혜화,폭력,발생,652
혜화,폭력,검거,525
용산,살인,발생,3
용산,살인,검거,2
용산,강도,발생,1
용산,강도,검거,1
용산,"강간,추행",발생,141
용산,"강간,추행",검거,103
용산,절도,발생,945
용산,절도,검거,484
용산,폭력,발생,1291
용산,폭력,검거,1069
성북,살인,발생,3
성북,살인,검거,2
성북,강도,발생,0
성북,강도,검거,0
성북,강간,발생,78
성북,강간,검거,56
성북,절도,발생,391
성북,절도,검거,190
성북,폭력,발생,610
성북,폭력,검거,537
동대문,살인,발생,3
동대문,살인,검거,4
동대문,강도,발생,7
동대문,강도,검거,8
동대문,"강간,추행",발생,169
동대문,"강간,추행",검거,147
동대문,절도,발생,1240
동대문,절도,검거,659
동대문,폭력,발생,1540
동대문,폭력,검거,1295
마포,살인,발생,4
마포,살인,검거,3
마포,강도,발생,4
마포,강도,검거,4
마포,"강간,추행",발생,321
마포,"강간,추행",검거,275
마포,절도,발생,1510
마포,절도,검거,730
마포,폭력,발생,1701
마포,폭력,검거,1367
영등포,살인,발생,8
영등포,살인,검거,8
영등포,강도,발생,11
영등포,강도,검거,11
영등포,"강간,추행",발생,279
영등포,"강간,추행",검거,196
영등포,절도,발생,1712
영등포,절도,검거,831
영등포,폭력,발생,2169
영등포,폭력,검거,1731
성동,살인,발생,3
성동,살인,검거,4
성동,강도,발생,4
성동,강도,검거,1
성동,"강간,추행",발생,110
성동,"강간,추행",검거,82
성동,절도,발생,905
성동,절도,검거,497
성동,폭력,발생,1090
성동,폭력,검거,926
동작,살인,발생,2
동작,살인,검거,3
동작,강도,발생,1
동작,강도,검거,1
동작,"강간,추행",발생,180
동작,"강간,추행",검거,94
동작,절도,발생,1129
동작,절도,검거,675
동작,폭력,발생,1319
동작,폭력,검거,1056
광진,살인,발생,5
광진,살인,검거,3
광진,강도,발생,4
광진,강도,검거,4
광진,"강간,추행",발생,208
광진,"강간,추행",검거,161
광진,절도,발생,1414
광진,절도,검거,754
광진,폭력,발생,1456
광진,폭력,검거,1280
서부,살인,발생,2
서부,살인,검거,3
서부,강도,발생,1
서부,강도,검거,1
서부,"강간,추행",발생,66
서부,"강간,추행",검거,50
서부,절도,발생,706
서부,절도,검거,400
서부,폭력,발생,782
서부,폭력,검거,677
강북,살인,발생,4
강북,살인,검거,4
강북,강도,발생,1
강북,강도,검거,1
강북,"강간,추행",발생,136
강북,"강간,추행",검거,115
강북,절도,발생,777
강북,절도,검거,537
강북,폭력,발생,1383
강북,폭력,검거,1255
금천,살인,발생,7
금천,살인,검거,6
금천,강도,발생,3
금천,강도,검거,4
금천,"강간,추행",발생,134
금천,"강간,추행",검거,103
금천,절도,발생,1013
금천,절도,검거,520
금천,폭력,발생,1282
금천,폭력,검거,1108
중랑,살인,발생,4
중랑,살인,검거,4
중랑,강도,발생,6
중랑,강도,검거,7
중랑,"강간,추행",발생,141
중랑,"강간,추행",검거,117
중랑,절도,발생,1399
중랑,절도,검거,835
중랑,폭력,발생,1660
중랑,폭력,검거,1442
강남,살인,발생,8
강남,살인,검거,6
강남,강도,발생,13
강남,강도,검거,11
강남,"강간,추행",발생,428
강남,"강간,추행",검거,325
강남,절도,발생,1517
강남,절도,검거,737
강남,폭력,발생,1961
강남,폭력,검거,1699
관악,살인,발생,8
관악,살인,검거,4
관악,강도,발생,7
관악,강도,검거,6
관악,"강간,추행",발생,321
관악,"강간,추행",검거,269
관악,절도,발생,1860
관악,절도,검거,929
관악,폭력,발생,2248
관악,폭력,검거,1926
강서,살인,발생,9
강서,살인,검거,7
강서,강도,발생,3
강서,강도,검거,3
강서,"강간,추행",발생,246
강서,"강간,추행",검거,188
강서,절도,발생,1540
강서,절도,검거,921
강서,폭력,발생,2098
강서,폭력,검거,1925
강동,살인,발생,3
강동,살인,검거,3
강동,강도,발생,6
강동,강도,검거,6
강동,"강간,추행",발생,124
강동,"강간,추행",검거,103
강동,절도,발생,1612
강동,절도,검거,889
강동,폭력,발생,1713
강동,폭력,검거,1461
종암,살인,발생,1
종암,살인,검거,1
종암,강도,발생,2
종암,강도,검거,2
종암,강간,발생,40
종암,강간,검거,32
종암,절도,발생,504
종암,절도,검거,284
종암,폭력,발생,782
종암,폭력,검거,683
구로,살인,발생,5
구로,살인,검거,5
구로,강도,발생,2
구로,강도,검거,1
구로,"강간,추행",발생,182
구로,"강간,추행",검거,118
구로,절도,발생,1390
구로,절도,검거,770
구로,폭력,발생,1907
구로,폭력,검거,1537
서초,살인,발생,9
서초,살인,검거,9
서초,강도,발생,5
서초,강도,검거,5
서초,"강간,추행",발생,265
서초,"강간,추행",검거,191
서초,절도,발생,1190
서초,절도,검거,532
서초,폭력,발생,1488
서초,폭력,검거,1202
양천,살인,발생,1
양천,살인,검거,1
양천,강도,발생,3
양천,강도,검거,3
양천,강간,발생,116
양천,강간,검거,92
양천,절도,발생,1349
양천,절도,검거,700
양천,폭력,발생,1546
양천,폭력,검거,1289
송파,살인,발생,3
송파,살인,검거,3
송파,강도,발생,7
송파,강도,검거,6
송파,"강간,추행",발생,247
송파,"강간,추행",검거,216
송파,절도,발생,2024
송파,절도,검거,995
송파,폭력,발생,2433
송파,폭력,검거,2046
노원,살인,발생,6
노원,살인,검거,6
노원,강도,발생,3
노원,강도,검거,3
노원,"강간,추행",발생,156
노원,"강간,추행",검거,126
노원,절도,발생,1361
노원,절도,검거,654
노원,폭력,발생,1899
노원,폭력,검거,1513
방배,살인,발생,0
방배,살인,검거,0
방배,강도,발생,0
방배,강도,검거,0
방배,강간,발생,47
방배,강간,검거,37
방배,절도,발생,313
방배,절도,검거,159
방배,폭력,발생,339
방배,폭력,검거,304
은평,살인,발생,2
은평,살인,검거,2
은평,강도,발생,2
은평,강도,검거,2
은평,"강간,추행",발생,100
은평,"강간,추행",검거,83
은평,절도,발생,718
은평,절도,검거,425
은평,폭력,발생,865
은평,폭력,검거,780
도봉,살인,발생,2
도봉,살인,검거,2
도봉,강도,발생,2
도봉,강도,검거,1
도봉,강간,발생,72
도봉,강간,검거,64
도봉,절도,발생,772
도봉,절도,검거,376
도봉,폭력,발생,1012
도봉,폭력,검거,851
수서,살인,발생,4
수서,살인,검거,5
수서,강도,발생,12
수서,강도,검거,12
수서,"강간,추행",발생,150
수서,"강간,추행",검거,129
수서,절도,발생,855
수서,절도,검거,423
수서,폭력,발생,1198
수서,폭력,검거,1050